ICD CODE,DESCRIPTION
E108 ,type
M4696 ,unspecified
K111 ,hypertrophy
S300 ,contusion
M1392 ,"arthritis,"
G510 ,bell's
M7904 ,"rheumatism,"
O9210 ,cracked
M8590 ,unspecified
M6263 ,muscle
H011 ,noninfectious
S3203 ,fracture
M8416 ,nonunion
K828 ,other
N803 ,endometriosis
S901 ,contusion
A060 ,acute
L506 ,contact
D24 ,d24 benign neoplasm of breast
N893 ,dysplasia
G958 ,other
I832 ,varicose
A049 ,bacterial
T033 ,"dislocations,"
M7900 ,"rheumatism,"
K37 ,k37 unspecified appendicitis
E249 ,cushing's
I889 ,nonspecific
I139 ,hypertensive
O471 ,false
K818 ,other
M4725 ,other
N872 ,severe
L719 ,"rosacea,"
S929 ,fracture
J383 ,other
L270 ,generalised
I848 ,unspecified
G619 ,inflammatory
M0800 ,juvenile
M6596 ,unspecified
N899 ,noninflammatory
K628 ,other
S6188 ,open
O269 ,pregnancy-related
L9050 ,scar
S0154 ,open
M7388 ,other
M8947 ,other
I308 ,other
L609 ,nail
N851 ,endometrial
T0903 ,insect
M4785 ,other
R162 ,hepatomegaly
M2325 ,derangement
Z369 ,antenatal
B199 ,unspecified
K746 ,other
E669 ,"obesity,"
M4303 ,"spondylolysis,"
R876 ,abnormal
A800 ,acute
I846 ,residual
Z001 ,routine
M2335 ,other
H160 ,corneal
M7978 ,"fibromyalgia,"
S8281 ,bimalleolar
O2688 ,other
M1380 ,other
S900 ,contusion
E613 ,manganese
M6735 ,transient
M0600 ,seronegative
G4080 ,other
E1162 ,type
S2232 ,fracture
N709 ,salpingitis
G934 ,"encephalopathy,"
M4125 ,other
G724 ,inflammatory
I7020 ,atherosclerosis
N940 ,mittelschmerz
J359 ,chronic
D383 ,neoplasm
E098 ,impaired
E834 ,disorders
E340 ,carcinoid
S6232 ,fracture
R278 ,other
H610 ,perichondritis
P920 ,vomiting
S301 ,contusion
Z309 ,contraceptive
H026 ,xanthelasma
Z359 ,supervision
M6088 ,other
K141 ,geographic
K20 ,k20 oesophagitis
G433 ,complicated
K116 ,mucocele
H938 ,other
B370 ,candidal
J110 ,influenza
N700 ,acute
M6029 ,foreign
A084 ,viral
M4642 ,unspecified
O82 ,o82 single delivery by caesarean section
O266 ,liver
D563 ,thalassaemia
L906 ,striae
N913 ,primary
R590 ,localised
L403 ,pustulosis
M6206 ,diastasis
Z3900 ,postpartum
E538 ,deficiency
J398 ,other
S7300 ,dislocation
K639 ,disease
T172 ,foreign
I7021 ,atherosclerosis
S968 ,injury
O9900 ,anaemia
C629 ,malignant
J128 ,other
C773 ,secondary
N979 ,female
D759 ,disease
R71 ,r71 abnormality of red blood cells
D559 ,anaemia
I516 ,cardiovascular
M4199 ,unspecified
L281 ,prurigo
H651 ,other
E040 ,nontoxic
I749 ,embolism
K259 ,gastric
G960 ,cerebrospinal
K778 ,liver
D539 ,nutritional
S0030 ,superficial
M4149 ,neuromuscular
M4839 ,traumatic
M6328 ,myositis
M2133 ,wrist
Z479 ,orthopaedic
M6780 ,other
L709 ,"acne,"
A047 ,enterocolitis
K566 ,other
M7909 ,"rheumatism,"
S028 ,fractures
L539 ,erythematous
M6098 ,unspecified
E169 ,disorder
N434 ,spermatocele
D376 ,neoplasm
I219 ,acute
O009 ,ectopic
T2109 ,burn
M1226 ,villonodular
T158 ,foreign
L230 ,allergic
M4899 ,unspecified
D27 ,d27 benign neoplasm of ovary
M4726 ,other
D45 ,d45 polycythaemia vera
R042 ,haemoptysis
S6210 ,fracture
S9223 ,fracture
S500 ,contusion
M8785 ,other
G720 ,drug-induced
J441 ,chronic
M7908 ,"rheumatism,"
M4196 ,unspecified
S902 ,contusion
M0607 ,seronegative
O358 ,maternal
E281 ,androgen
M6586 ,other
M8941 ,other
E278 ,other
E060 ,acute
R91 ,r91 abnormal findings on diagnostic imaging of lung
E1069 ,type
E882 ,"lipomatosis,"
B084 ,enteroviral
S8242 ,fracture
E739 ,lactose
S921 ,fracture
L628 ,nail
M072 ,psoriatic
L638 ,other
N809 ,"endometriosis,"
M7269 ,necrotising
E229 ,hyperfunction
K430 ,ventral
K871 ,disorders
L081 ,erythrasma
H526 ,other
K5792 ,diverticulitis
L305 ,pityriasis
M8589 ,other
N512 ,balanitis
G378 ,other
M5410 ,"radiculopathy,"
Z478 ,other
O008 ,other
K861 ,other
K868 ,other
U6301 ,dressage
H200 ,acute
S9341 ,sprain
H208 ,other
J030 ,streptococcal
M708 ,other
E248 ,other
E279 ,disorder
R268 ,other
E288 ,other
E237 ,disorder
H904 ,sensorineural
G541 ,lumbosacral
E1414 ,unspecified
I779 ,disorder
I880 ,nonspecific
L538 ,other
E349 ,endocrine
E889 ,metabolic
T393 ,poisoning
D390 ,neoplasm
M9428 ,"chondromalacia,"
T302 ,burn
K512 ,ulcerative
S6263 ,fracture
H472 ,optic
M4129 ,other
Y598 ,other
N958 ,other
Z954 ,presence
S9343 ,sprain
S6262 ,fracture
G580 ,intercostal
M763 ,iliotibial
H534 ,visual
L710 ,perioral
S9342 ,sprain
K594 ,anal
H059 ,disorder
L649 ,androgenic
B019 ,varicella
Z806 ,family
M6585 ,other
M7156 ,other
M4042 ,other
M6808 ,synovitis
N250 ,renal
S337 ,sprain
N049 ,nephrotic
T2200 ,burn
H906 ,mixed
R160 ,"hepatomegaly,"
M7926 ,neuralgia
S4081 ,abrasion
I843 ,external
T1401 ,abrasion
Z018 ,other
M2599 ,unspecified
A491 ,streptococcal
R891 ,abnormal
R34 ,r34 anuria and oliguria
F402 ,specific
E888 ,other
K224 ,dyskinesia
Q6589 ,other
K824 ,cholesterolosis
Y440 ,iron
S920 ,fracture
B082 ,exanthema
O209 ,haemorrhage
M5419 ,"radiculopathy,"
M6580 ,other
K520 ,gastroenteritis
M2323 ,derangement
S8352 ,sprain
M2421 ,disorder
S001 ,contusion
S917 ,multiple
A069 ,"amoebiasis,"
W00 ,w00 fall on same level involving ice and snow
S409 ,superficial
T1301 ,abrasion
A419 ,"sepsis,"
O300 ,twin
R770 ,abnormality
M670 ,short
H503 ,intermittent
O410 ,oligohydramnios
O231 ,infections
M6588 ,other
N948 ,other
M7912 ,"myalgia,"
M7288 ,other
Z111 ,special
R193 ,abdominal
S2231 ,fracture
S369 ,injury
M4195 ,unspecified
B580 ,toxoplasma
H36 ,h36 retinal disorders in diseases classified elsewhere
H902 ,conductive
K659 ,"peritonitis,"
T3111 ,burns
M2580 ,other
O020 ,blighted
O021 ,missed
S9228 ,fracture
S5251 ,fracture
L021 ,cutaneous
K759 ,inflammatory
N359 ,urethral
Z412 ,routine
H171 ,other
S810 ,open
F410 ,panic
M1008 ,idiopathic
I442 ,atrioventricular
K8081 ,other
O2419 ,pre-existing
Z768 ,persons
R610 ,localised
K420 ,umbilical
S628 ,fracture
E1101 ,type
M6527 ,calcific
N46 ,n46 male infertility
S8240 ,fracture
W540 ,bitten
Z268 ,need
L940 ,localised
M4190 ,unspecified
M4790 ,unspecified
S927 ,multiple
M768 ,other
N770 ,ulceration
B971 ,enterovirus
I062 ,rheumatic
Z269 ,need
M6525 ,calcific
M7153 ,other
O601 ,preterm
M7117 ,other
N429 ,disorder
F980 ,nonorganic
S868 ,injury
G636 ,polyneuropathy
O862 ,urinary
G463 ,brain
J382 ,nodules
M332 ,polymyositis
M4304 ,"spondylolysis,"
B330 ,epidemic
L100 ,pemphigus
O860 ,infection
T159 ,foreign
R430 ,anosmia
K4090 ,unilateral
Z289 ,immunisation
G834 ,cauda
N750 ,cyst
S47 ,s47 crushing injury of shoulder and upper arm
M705 ,other
S100 ,contusion
S3700 ,injury
N604 ,mammary
T793 ,post-traumatic
G908 ,other
M2137 ,wrist
N141 ,nephropathy
O240 ,pre-existing
H028 ,other
T231 ,erythema
L564 ,polymorphous
S6211 ,fracture
J181 ,lobar
M4783 ,other
L932 ,other
R232 ,flushing
L814 ,other
D589 ,hereditary
N002 ,acute
N778 ,vulvovaginal
T1305 ,contusion
S9221 ,fracture
I776 ,"arteritis,"
I679 ,cerebrovascular
E875 ,hyperkalaemia
K510 ,ulcerative
M1256 ,traumatic
M2320 ,derangement
J931 ,other
M1318 ,"monoarthritis,"
J205 ,acute
B309 ,viral
M4806 ,spinal
E1134 ,type
H404 ,glaucoma
S6261 ,fracture
S431 ,dislocation
B361 ,tinea
S728 ,fractures
A78 ,a78 q fever
R798 ,other
A492 ,haemophilus
R58 ,"r58 haemorrhage, not elsewhere classified"
Z566 ,other
M6509 ,abscess
O469 ,antepartum
O600 ,preterm
S624 ,multiple
E1149 ,type
S509 ,superficial
M7980 ,other
M4307 ,"spondylolysis,"
S5253 ,fracture
S6362 ,sprain
R478 ,other
M6805 ,synovitis
S809 ,superficial
T07 ,t07 unspecified multiple injuries
G939 ,disorder
S627 ,multiple
J384 ,oedema
M6288 ,other
D331 ,benign
J14 ,j14 pneumonia due to haemophilus influenzae
K508 ,other
S336 ,sprain
T141 ,open
S867 ,injury
M928 ,other
I491 ,atrial
S136 ,sprain
K522 ,allergic
M4606 ,spinal
T813 ,disruption
G628 ,other
I730 ,raynaud's
I252 ,old
H611 ,noninfective
M4796 ,unspecified
I639 ,cerebral
M0598 ,seropositive
I847 ,unspecified
J340 ,"abscess,"
H604 ,cholesteatoma
S6084 ,superficial
K620 ,anal
I774 ,coeliac
S469 ,injury
M4713 ,other
H259 ,senile
M4699 ,unspecified
S899 ,unspecified
K624 ,stenosis
M1387 ,other
H663 ,other
K4091 ,unilateral
R400 ,somnolence
M6782 ,other
S5348 ,sprain
T675 ,heat
M4506 ,ankylosing
M4807 ,spinal
M2564 ,stiffness
M1006 ,idiopathic
M6080 ,other
K604 ,rectal
K029 ,dental
K132 ,leukoplakia
M0086 ,arthritis
K567 ,"ileus,"
K521 ,toxic
K738 ,other
S1010 ,other
E799 ,disorder
L659 ,nonscarring
M7994 ,unspecified
M4716 ,other
M770 ,medial
J210 ,acute
S3201 ,fracture
S3200 ,fracture
M5480 ,other
K5730 ,diverticulosis
K044 ,acute
M8999 ,unspecified
M161 ,other
S5259 ,other
I429 ,"cardiomyopathy,"
E880 ,disorders
K352 ,acute
K822 ,perforation
M4799 ,unspecified
E1136 ,type
E1331 ,other
Z131 ,special
N482 ,other
R69 ,r69 unknown and unspecified causes of morbidity
N009 ,acute
I840 ,internal
H169 ,"keratitis,"
I890 ,"lymphoedema,"
M0648 ,inflammatory
S833 ,tear
S8218 ,other
M6245 ,contracture
S9338 ,dislocation
H939 ,disorder
H951 ,other
S563 ,injury
K650 ,acute
M1239 ,palindromic
L658 ,other
M0284 ,other
S6250 ,fracture
D485 ,neoplasm
G20 ,g20 parkinson's disease
K010 ,embedded
H250 ,senile
M6781 ,other
H055 ,retained
M7244 ,pseudosarcomatous
D219 ,other
M7954 ,residual
K036 ,deposits
H269 ,"cataract,"
K5790 ,diverticulosis
E351 ,disorders
H050 ,acute
K5793 ,diverticulitis
G4050 ,special
J458 ,mixed
M0649 ,inflammatory
Z258 ,need
E1122 ,type
M6529 ,calcific
M2300 ,cystic
M767 ,peroneal
H470 ,disorders
I248 ,other
I498 ,other
M4690 ,unspecified
Z123 ,special
K028 ,other
N950 ,postmenopausal
D473 ,essential
M2567 ,stiffness
R521 ,chronic
L859 ,epidermal
E161 ,other
D172 ,benign
L26 ,l26 exfoliative dermatitis
M4316 ,"spondylolisthesis,"
M0647 ,inflammatory
I501 ,left
E1040 ,type
M2562 ,stiffness
S2018 ,other
G519 ,disorder
M2362 ,other
S461 ,injury
Z043 ,examination
B89 ,b89 unspecified parasitic disease
E1013 ,type
L048 ,acute
S5202 ,fracture
E1031 ,type
N369 ,urethral
D168 ,benign
M7380 ,other
I255 ,ischaemic
H618 ,other
W069 ,fall
K148 ,other
H188 ,other
L505 ,cholinergic
G544 ,lumbosacral
I500 ,congestive
M1092 ,"gout,"
M1048 ,other
I447 ,left
M8189 ,other
M220 ,recurrent
B338 ,other
N19 ,n19 unspecified renal failure
J158 ,other
K562 ,volvulus
A059 ,bacterial
A085 ,other
S4241 ,supracondylar
K458 ,other
M6519 ,other
F3220 ,severe
M4802 ,spinal
S021 ,fracture
M2361 ,other
W010 ,fall
M0135 ,arthritis
L680 ,hirsutism
R871 ,abnormal
M0696 ,rheumatoid
M6297 ,unspecified
L990 ,amyloidosis
H910 ,ototoxic
B179 ,acute
S869 ,injury
S6251 ,fracture
I2512 ,atherosclerotic
A719 ,"trachoma,"
L930 ,discoid
H588 ,other
G540 ,brachial
E1164 ,type
H119 ,disorder
Z952 ,presence
I809 ,phlebitis
G569 ,mononeuropathy
E1171 ,type
T180 ,foreign
J391 ,other
G4732 ,obstructive
M1094 ,"gout,"
R093 ,abnormal
I742 ,embolism
O343 ,maternal
Y441 ,vitamin
H509 ,"strabismus,"
M779 ,"enthesopathy,"
K4020 ,bilateral
N308 ,other
L701 ,acne
T240 ,burn
H653 ,chronic
M1998 ,"arthrosis,"
K047 ,periapical
T8900 ,complications
M9327 ,osteochondritis
S932 ,rupture
F809 ,developmental
K8021 ,calculus
M2497 ,unspecified
L050 ,pilonidal
I709 ,generalised
S601 ,contusion
G568 ,other
R870 ,abnormal
I340 ,mitral
S6252 ,fracture
S634 ,traumatic
K2980 ,"duodenitis,"
S661 ,injury
S4240 ,fracture
M359 ,systemic
W83 ,w83 other specified threats to breathing
E02 ,e02 subclinical iodine-deficiency hypothyroidism
R196 ,halitosis
K3188 ,other
S029 ,fracture
M4194 ,unspecified
M8158 ,idiopathic
S655 ,injury
G243 ,spasmodic
D223 ,melanocytic
M2563 ,stiffness
M6583 ,other
M6523 ,calcific
I351 ,aortic
N601 ,diffuse
I678 ,other
S6300 ,dislocation
D520 ,dietary
C720 ,malignant
D464 ,refractory
K250 ,gastric
M1040 ,other
N952 ,postmenopausal
H019 ,inflammation
M160 ,primary
L722 ,steatocystoma
E1143 ,type
Z014 ,gynaecological
K089 ,disorder
K669 ,disorder
M4192 ,unspecified
M6267 ,muscle
I609 ,subarachnoid
K5733 ,diverticulitis
T1105 ,contusion
R2988 ,other
G4040 ,other
E271 ,primary
M7108 ,abscess
M4012 ,other
F489 ,neurotic
T887 ,unspecified
M352 ,behcet's
L819 ,disorder
S9082 ,blister
M5408 ,panniculitis
M929 ,juvenile
H728 ,other
R072 ,precordial
L608 ,other
E260 ,primary
K115 ,sialolithiasis
W551 ,bitten
M0750 ,arthropathy
R234 ,changes
F528 ,other
K831 ,obstruction
K830 ,cholangitis
M175 ,other
M7950 ,residual
G4733 ,sleep
M7151 ,other
L919 ,hypertrophic
I152 ,hypertension
M4309 ,"spondylolysis,"
G253 ,myoclonus
S5231 ,fracture
F509 ,eating
Z124 ,special
A070 ,balantidiasis
A609 ,anogenital
A600 ,herpesviral
F82 ,f82 specific developmental disorder of motor function
M2561 ,stiffness
S861 ,injury
I451 ,other
D758 ,other
I708 ,atherosclerosis
S9081 ,abrasion
B238 ,hiv
L817 ,pigmented
M2423 ,disorder
M7301 ,gonococcal
M5488 ,other
Y838 ,other
M1257 ,traumatic
S528 ,fracture
L9100 ,hypertrophic
S829 ,fracture
S428 ,fracture
M2539 ,other
S0602 ,loss
G4081 ,other
J46 ,j46 status asthmaticus
C73 ,c73 malignant neoplasm of thyroid gland
B948 ,sequelae
N301 ,interstitial
E560 ,deficiency
L033 ,cellulitis
L404 ,guttate
L282 ,other
M5496 ,unspecified
J341 ,cyst
S8344 ,rupture
S8211 ,fracture
A009 ,"cholera,"
R568 ,other
O873 ,cerebral
D34 ,d34 benign neoplasm of thyroid gland
M5495 ,unspecified
H531 ,subjective
O2682 ,carpal
H810 ,meniere's
D369 ,benign
E1001 ,type
M2568 ,stiffness
J381 ,polyp
J202 ,acute
N132 ,hydronephrosis
B340 ,adenovirus
H354 ,peripheral
K039 ,disease
M720 ,palmar
L984 ,chronic
S411 ,open
M531 ,cervicobrachial
A029 ,salmonella
M0695 ,rheumatoid
M6591 ,unspecified
Q850 ,neurofibromatosis
R064 ,hyperventilation
H058 ,other
H024 ,ptosis
N281 ,cyst
D237 ,other
D227 ,melanocytic
E1334 ,other
G545 ,neuralgic
R490 ,dysphonia
Z5160 ,"allergen,"
D689 ,coagulation
T818 ,other
Z760 ,issue
H046 ,other
Z803 ,family
T1400 ,unspecified
K275 ,peptic
M7981 ,other
H332 ,serous
B018 ,varicella
M5486 ,other
N428 ,other
G832 ,monoplegia
Z232 ,need
I440 ,atrioventricular
K811 ,chronic
M1989 ,other
E213 ,"hyperparathyroidism,"
Q5010 ,developmental
N421 ,congestion
O059 ,other
T8141 ,wound
K042 ,pulp
B851 ,pediculosis
N609 ,benign
M5494 ,unspecified
A6300 ,anogenital
I450 ,right
H018 ,other
M4784 ,other
Z094 ,follow-up
N020 ,recurrent
H613 ,acquired
M8188 ,other
C442 ,malignant
F529 ,unspecified
I514 ,"myocarditis,"
D329 ,benign
K4040 ,unilateral
M7181 ,other
N922 ,excessive
L721 ,trichilemmal
E310 ,autoimmune
L949 ,localised
M1908 ,primary
M4508 ,ankylosing
D531 ,other
E870 ,hyperosmolality
R946 ,abnormal
S969 ,injury
S8228 ,other
K269 ,duodenal
L562 ,photocontact
D359 ,benign
S322 ,fracture
Y546 ,"electrolytic,"
E1151 ,type
M4600 ,spinal
M6748 ,"ganglion,"
J683 ,other
M2565 ,stiffness
S8318 ,other
M1917 ,post-traumatic
M5329 ,spinal
G373 ,acute
H278 ,other
L419 ,"parapsoriasis,"
B348 ,other
C349 ,malignant
M6290 ,unspecified
A879 ,viral
M357 ,hypermobility
M6649 ,spontaneous
A239 ,"brucellosis,"
B159 ,hepatitis
M8148 ,drug-induced
M6200 ,diastasis
M8009 ,postmenopausal
E1065 ,type
E1029 ,type
I260 ,pulmonary
K8050 ,calculus
K421 ,umbilical
N181 ,chronic
S433 ,dislocation
I748 ,embolism
B341 ,enterovirus
M1901 ,primary
R463 ,overactivity
L601 ,onycholysis
K469 ,unspecified
N432 ,other
H040 ,dacryoadenitis
M8705 ,idiopathic
M6740 ,"ganglion,"
I349 ,nonrheumatic
M6784 ,other
Z271 ,need
M4112 ,juvenile
L602 ,onychogryphosis
J91 ,j91 pleural effusion in conditions classified elsewhere
B332 ,viral
O603 ,preterm
B302 ,viral
M6880 ,other
M6582 ,other
E052 ,thyrotoxicosis
N130 ,hydronephrosis
O267 ,subluxation
Z246 ,need
N133 ,other
L444 ,infantile
D860 ,sarcoidosis
N3988 ,other
K719 ,toxic
D511 ,vitamin
M8001 ,postmenopausal
N642 ,atrophy
R633 ,feeding
G603 ,idiopathic
L731 ,pseudofolliculitis
I868 ,varicose
R258 ,other
C509 ,malignant
N139 ,obstructive
M2359 ,chronic
R438 ,other
H268 ,other
Z235 ,need
S6212 ,fracture
M1381 ,other
S8249 ,multiple
G551 ,nerve
R227 ,localised
M6147 ,other
L743 ,"miliaria,"
E871 ,hypo-osmolality
M8159 ,idiopathic
G961 ,disorders
Z3901 ,postpartum
H579 ,disorder
K8001 ,calculus
M204 ,other
L958 ,other
D849 ,"immunodeficiency,"
N329 ,bladder
N500 ,atrophy
M8329 ,adult
N318 ,other
L740 ,miliaria
N759 ,disease
H428 ,glaucoma
S0000 ,superficial
D071 ,carcinoma
N901 ,moderate
K119 ,disease
F800 ,specific
D281 ,benign
Q231 ,congenital
T151 ,foreign
S0123 ,open
N170 ,acute
M0740 ,arthropathy
M4681 ,other
M4156 ,other
G948 ,other
E778 ,other
S3728 ,other
B088 ,other
S1018 ,other
S6352 ,sprain
E280 ,oestrogen
N923 ,ovulation
F330 ,recurrent
G470 ,disorders
M0730 ,other
M0731 ,other
D699 ,haemorrhagic
M2333 ,other
I635 ,cerebral
H168 ,other
K074 ,"malocclusion,"
M7249 ,pseudosarcomatous
K565 ,intestinal
M8180 ,other
S0134 ,open
M6210 ,other
E1102 ,type
E673 ,hypervitaminosis
M5326 ,spinal
D252 ,subserosal
R049 ,haemorrhage
F3221 ,severe
F429 ,obsessive-compulsive
K040 ,pulpitis
Z955 ,presence
M6264 ,muscle
M4809 ,spinal
K006 ,disturbances
R294 ,clicking
M7922 ,neuralgia
M5492 ,unspecified
K122 ,cellulitis
M8949 ,other
M6659 ,spontaneous
M2411 ,other
M8600 ,acute
E1440 ,unspecified
M229 ,disorder
M6737 ,transient
S3202 ,fracture
M1258 ,traumatic
W800 ,inhalation
S642 ,injury
G518 ,other
D693 ,idiopathic
S709 ,superficial
I422 ,other
E838 ,other
S0262 ,subcondylar
Z358 ,supervision
O291 ,cardiac
N838 ,other
I638 ,other
S8288 ,fracture
M5414 ,"radiculopathy,"
H300 ,focal
A493 ,mycoplasma
A749 ,chlamydial
H330 ,retinal
D210 ,other
D173 ,benign
C64 ,"c64 malignant neoplasm of kidney, except renal pelvis"
D110 ,benign
R253 ,fasciculation
M7159 ,other
T038 ,"dislocations,"
M700 ,chronic
S290 ,injury
N418 ,other
S670 ,crushing
J012 ,acute
F411 ,generalised
B54 ,b54 unspecified malaria
M2170 ,unequal
Z391 ,care
N110 ,nonobstructive
K612 ,anorectal
M0599 ,seropositive
M2329 ,derangement
M319 ,necrotising
I350 ,aortic
S827 ,multiple
H110 ,pterygium
M8199 ,unspecified
S0098 ,superficial
N218 ,other
S0041 ,superficial
N023 ,recurrent
Y848 ,other
M6389 ,other
S570 ,crushing
A153 ,tuberculosis
M8599 ,unspecified
S4213 ,fracture
N060 ,isolated
M6732 ,transient
M4717 ,other
A259 ,rat-bite
S6088 ,other
K632 ,fistula
M7158 ,other
L236 ,allergic
N211 ,calculus
A071 ,giardiasis
M4645 ,unspecified
M1991 ,"arthrosis,"
S0005 ,superficial
F418 ,other
T091 ,open
K317 ,polyp
S632 ,multiple
L433 ,subacute
T2230 ,full
T2201 ,burn
M2544 ,effusion
S7180 ,open
G501 ,atypical
F338 ,other
Z030 ,observation
S764 ,injury
M8150 ,idiopathic
M7107 ,abscess
K021 ,caries
S598 ,other
W109 ,fall
M0697 ,rheumatoid
E568 ,deficiency
O044 ,medical
W230 ,"caught,"
J204 ,acute
A083 ,other
K4021 ,bilateral
S9330 ,dislocation
H439 ,disorder
N483 ,priapism
G509 ,disorder
E0940 ,impaired
N320 ,bladder-neck
E630 ,essential
A150 ,tuberculosis
J170 ,pneumonia
S678 ,crushing
S698 ,other
E642 ,sequelae
M7976 ,"fibromyalgia,"
N288 ,other
M2441 ,recurrent
B814 ,mixed
F331 ,recurrent
F510 ,nonorganic
F432 ,adjustment
L110 ,acquired
K599 ,functional
S507 ,multiple
S052 ,ocular
L200 ,besnier's
C259 ,malignant
M0534 ,rheumatoid
E236 ,other
M0929 ,juvenile
S314 ,open
G610 ,guillain-barr?
G252 ,other
M778 ,other
S5252 ,fracture
Z299 ,prophylactic
J680 ,bronchitis
I600 ,subarachnoid
G722 ,myopathy
E1431 ,unspecified
K053 ,chronic
H933 ,disorders
M2342 ,loose
M0709 ,distal
M8990 ,unspecified
N998 ,other
R601 ,generalised
D162 ,benign
G718 ,other
L661 ,lichen
I110 ,hypertensive
D352 ,benign
M189 ,arthrosis
E755 ,other
I878 ,other
M4319 ,"spondylolisthesis,"
N888 ,other
E1434 ,unspecified
C439 ,malignant
M0692 ,rheumatoid
G462 ,posterior
I633 ,cerebral
S235 ,sprain
M4326 ,other
H708 ,other
T731 ,effects
K8041 ,calculus
Z5188 ,other
K5700 ,diverticulosis
M6595 ,unspecified
M2595 ,unspecified
M4656 ,other
K8030 ,calculus
M7106 ,abscess
S825 ,fracture
C189 ,malignant
H46 ,h46 optic neuritis
C402 ,malignant
D447 ,neoplasm
S3612 ,laceration
S817 ,multiple
K287 ,gastrojejunal
H029 ,disorder
T939 ,sequelae
L109 ,"pemphigus,"
M2537 ,other
S230 ,traumatic
C61 ,c61 malignant neoplasm of prostate
T188 ,foreign
I019 ,acute
H709 ,"mastoiditis,"
L251 ,unspecified
A663 ,hyperkeratosis
M6282 ,other
E272 ,addisonian
I741 ,embolism
L568 ,other
M2414 ,other
M6504 ,abscess
T120 ,fracture
W44 ,w44 foreign body entering into or through eye or natural orifice
I201 ,angina
L279 ,dermatitis
M7157 ,other
M8982 ,other
H508 ,other
D140 ,benign
N972 ,female
L662 ,folliculitis
D010 ,carcinoma
Z961 ,presence
G719 ,primary
C20 ,c20 malignant neoplasm of rectum
M1001 ,idiopathic
M4603 ,spinal
M2501 ,"haemarthrosis,"
L551 ,"sunburn,"
E892 ,postprocedural
N871 ,moderate
J986 ,disorders
S352 ,injury
E1469 ,unspecified
D215 ,other
M328 ,other
M911 ,juvenile
D159 ,benign
M4800 ,spinal
J451 ,nonallergic
K621 ,rectal
M4052 ,unspecified
M2521 ,flail
J129 ,viral
I629 ,intracranial
B749 ,"filariasis,"
D330 ,benign
M181 ,other
H700 ,acute
H959 ,postprocedural
T241 ,erythema
B300 ,keratoconjunctivitis
L599 ,disorder
M1997 ,"arthrosis,"
M2425 ,disorder
M6645 ,spontaneous
G710 ,muscular
M0688 ,other
Z969 ,presence
S910 ,open
Z470 ,follow-up
K045 ,chronic
I899 ,noninfective
F659 ,disorder
M8128 ,osteoporosis
D683 ,haemorrhagic
Q862 ,dysmorphism
H182 ,other
E1365 ,other
D487 ,neoplasm
R161 ,"splenomegaly,"
M6806 ,synovitis
D236 ,other
R825 ,elevated
D171 ,benign
H71 ,h71 cholesteatoma of middle ear
J201 ,acute
O13 ,o13 gestational [pregnancy-induced] hypertension without significant proteinuria
S5083 ,insect
M7384 ,other
Q8924 ,thyroglossal
D440 ,neoplasm
N480 ,leukoplakia
M1904 ,primary
D069 ,carcinoma
S0155 ,open
J36 ,j36 peritonsillar abscess
M6809 ,synovitis
S0150 ,open
S0055 ,superficial
N431 ,infected
L240 ,irritant
M6229 ,ischaemic
F522 ,failure
N485 ,ulcer
G558 ,nerve
K4000 ,bilateral
E232 ,diabetes
J47 ,j47 bronchiectasis
M8108 ,postmenopausal
M8439 ,stress
M1259 ,traumatic
M5411 ,"radiculopathy,"
M1030 ,gout
B9688 ,other
M7983 ,other
D293 ,benign
T2104 ,burn
U605 ,golf
E1132 ,type
Z360 ,antenatal
T2102 ,burn
E012 ,iodine-deficiency-related
S667 ,injury
Y589 ,other
T3110 ,burns
G454 ,transient
S6234 ,fracture
I455 ,other
D441 ,neoplasm
E350 ,disorders
M8149 ,drug-induced
S7311 ,sprain
K4030 ,unilateral
K4031 ,unilateral
Z724 ,inappropriate
I342 ,nonrheumatic
B269 ,mumps
H161 ,other
M6598,"unspecified synovitis and tenosynovitis, other site"
R309,"painful micturition, unspecified"
R631,polydipsia
M1396,"arthritis, unspecified, lower leg"
K858,other acute pancreatitis
R067,sneezing
H023,blepharochalasis
E148,unspecified diabetes mellitus with unspecified complication
R238,other and unspecified skin changes
H578,other specified disorders of eye and adnexa
E807,"disorder of bilirubin metabolism, unspecified"
H186,keratoconus
M6807,"synovitis and tenosynovitis in bacterial diseases classified elsewhere, ankle and foot"
K6350,"polyp of colon, unspecified"
S4083,insect bite of shoulder and upper arm
J042,acute laryngotracheitis
M6749,"ganglion, site unspecified"
E1034,type 1 diabetes mellitus with other retinopathy
H539,"visual disturbance, unspecified"
G575,tarsal tunnel syndrome
M1398,"arthritis, unspecified, other site"
S0048,"superficial injury of ear, other"
H730,acute myringitis
H809,"otosclerosis, unspecified"
A010,typhoid fever
M4312,"spondylolisthesis, cervical region"
R066,hiccough
R635,abnormal weight gain
L998,other specified disorders of skin and subcutaneous tissue in diseases classified elsewhere
K272,"peptic ulcer, acute with both haemorrhage and perforation"
H830,labyrinthitis
Z010,examination of eyes and vision
I309,"acute pericarditis, unspecified"
J041,acute tracheitis
N12,"tubulo-interstitial nephritis, not specified as acute or chronic"
A159,"respiratory tuberculosis unspecified, confirmed bacteriologically and histologically"
J387,other diseases of larynx
L959,"vasculitis limited to skin, unspecified"
